window,train_end,test_end,n_train,n_test,auc,name,n_bets,win_rate,avg_odds,avg_edge,pnl,roi
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,CONF_HIGH,283,0.2862190812720848,3.3798586572438163,0.021785875561722325,-30.1,-0.10636042402826856
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,OUTSIDER_HE,4,0.0,13.775,0.07184102891825885,-4.0,-1.0
7,2019-01-01,2019-07-01,430033,88008,0.8067380686327182,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,ALL_FAVORITES,6591,0.3221059019875588,3.097420725231376,-0.0604693180425035,-909.1,-0.13793051130329237
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,HIGH_EDGE,4,0.5,3.5749999999999997,0.12068814540948587,3.3,0.825
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,MED_EDGE,33,0.21212121212121213,6.287878787878788,0.07247450360414977,5.1000000000000005,0.15454545454545457
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,LOW_EDGE,234,0.18376068376068377,8.080341880341882,0.034947277870185624,14.000000000000004,0.059829059829059845
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,CONF_HIGH,257,0.30739299610894943,3.41556420233463,0.018625819466572862,-5.899999999999997,-0.022957198443579754
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,OUTSIDER_HE,12,0.16666666666666666,10.266666666666667,0.06705849106887225,5.5,0.4583333333333333
8,2019-07-01,2020-01-01,413162,93281,0.8021739065375463,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,ALL_FAVORITES,4635,0.32815533980582523,3.0248651564185547,-0.05760614518908952,-673.2,-0.14524271844660194
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,HIGH_EDGE,0,0.0,0.0,0.0,0.0,0.0
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,MED_EDGE,38,0.21052631578947367,7.265789473684211,0.06178126149904678,14.7,0.3868421052631579
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,LOW_EDGE,324,0.18518518518518517,7.5629629629629616,0.03330209276796058,92.49999999999999,0.28549382716049376
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,CONF_HIGH,262,0.30916030534351147,3.341984732824428,0.018607586102296993,-7.200000000000006,-0.027480916030534375
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,OUTSIDER_HE,21,0.09523809523809523,10.361904761904762,0.06279102561440102,4.6,0.21904761904761902
9,2020-01-01,2020-07-01,395942,89955,0.8115017095253808,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,ALL_FAVORITES,7494,0.33533493461435815,3.0378569522284495,-0.05323312459243685,-929.4000000000001,-0.12401921537229785
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,HIGH_EDGE,3,0.0,4.5,0.11054121013164071,-3.0,-1.0
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,MED_EDGE,92,0.17391304347826086,5.48695652173913,0.06588343134653314,-4.6000000000000005,-0.05
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,LOW_EDGE,596,0.17785234899328858,6.741442953020134,0.03563943123222077,9.399999999999991,0.0157718120805369
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,CONF_HIGH,527,0.301707779886148,3.4067362428842505,0.023092942683052235,-23.6,-0.044781783681214424
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,OUTSIDER_HE,23,0.13043478260869565,10.947826086956523,0.06794538266901413,4.300000000000001,0.18695652173913047
10,2020-07-01,2021-01-01,380737,99738,0.8066010623870336,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,ALL_FAVORITES,6379,0.3304593196425772,2.9789700580028216,-0.05333900479806237,-1100.7000000000003,-0.17255055651356016
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,HIGH_EDGE,0,0.0,0.0,0.0,0.0,0.0
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,MED_EDGE,88,0.20454545454545456,6.048863636363637,0.06550537699952837,-26.1,-0.2965909090909091
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,LOW_EDGE,607,0.17462932454695224,7.4299835255354205,0.03550615371291072,-64.7,-0.10658978583196047
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,CONF_HIGH,479,0.2818371607515658,3.3367432150313157,0.02081616680913556,-43.9,-0.09164926931106472
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,OUTSIDER_HE,32,0.0,12.09375,0.06915542229546355,-32.0,-1.0
11,2021-01-01,2021-07-01,370982,99872,0.8020839835017749,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,ALL_FAVORITES,8020,0.3110972568578554,3.1296758104738154,-0.051645223371885235,-1378.1,-0.17183291770573564
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,HIGH_EDGE,6,0.16666666666666666,6.033333333333334,0.12654308441196008,-2.4,-0.39999999999999997
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,MED_EDGE,96,0.25,5.457291666666666,0.06893251496310478,25.099999999999998,0.2614583333333333
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,LOW_EDGE,779,0.19127086007702182,7.087869062901155,0.03513161414349784,32.8,0.042105263157894736
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,CONF_HIGH,515,0.3262135922330097,3.356990291262136,0.02162168101543378,25.099999999999998,0.0487378640776699
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,OUTSIDER_HE,27,0.2222222222222222,11.259259259259258,0.06853911844194917,52.3,1.937037037037037
12,2021-07-01,2022-01-01,382846,106954,0.7904350238531815,EXTREME_HE,1,0.0,6.3,0.15266252138840203,-1.0,-1.0
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,ALL_FAVORITES,7448,0.322234156820623,3.065863319011816,-0.055465460679984535,-966.9,-0.1298200859291085
