DATE,PRIX,HIPPODROME,ARRIVEE
01/04/2010,PRIX DE LA GASCOGNE,Saint-cloud,13 - 3 - 16 - 8 - 7
02/04/2010,PRIX AMALTHEA,Vincennes,1 - 2 - 14 - 15 - 10
03/04/2010,PRIX GENERAL DE ROUGEMONT,Auteuil,12 - 7 - 2 - 4 - 10
04/04/2010,PRIX DU LANGUEDOC,Saint-cloud,6 - 12 - 4 - 16 - 2
05/04/2010,PRIX DU PALAIS GARNIER,Paris-Longchamp,17 - 12 - 15 - 9 - 4
06/04/2010,PRIX ROSE OR NO,Enghien,14 - 18 - 2 - 12 - 10
07/04/2010,GRAND PRIX DE LA VILLE D'ANGERS,Angers,17 - 10 - 5 - 18 - 8
08/04/2010,PRIX DE NEWMARKET,Maisons-laffitte,5 - 1 - 3 - 2 - 15
09/04/2010,PRIX ATE,Vincennes,3 - 5 - 14 - 16 - 6
10/04/2010,PRIX D'AUBUSSON,Vincennes,5 - 7 - 8 - 4 - 2
11/04/2010,PRIX DU PALAIS DU LOUVRE,Paris-Longchamp,2 - 6 - 11 - 3 - 14
12/04/2010,PRIX DE LA ROCHELLE,Enghien,12 - 10 - 4 - 1 - 13
13/04/2010,PRIX DE PROVENCE,Saint-cloud,8 - 14 - 2 - 17 - 13
14/04/2010,GRAND NATIONAL DU TROT,Saint-galmier,13 - 11 - 4 - 7 - 15
15/04/2010,PRIX DU PALAIS DES GLACES,Paris-Longchamp,2 - 18 - 16 - 6 - 10
16/04/2010,PRIX EUKRATE,Vincennes,6 - 3 - 14 - 1 - 12
17/04/2010,PRIX DE CHATEAU-GAILLARD,Vincennes,10 - 9 - 16 - 15 - 18
18/04/2010,PRIX DU PRESIDENT DE LA REPUBLIQUE,Auteuil,12 - 9 - 1 - 20 - 3
19/04/2010,PRIX DE MONTIGNY,Maisons-laffitte,4 - 12 - 16 - 8 - 13
20/04/2010,PRIX DE LA PLACE VENDOME,Paris-Longchamp,1 - 18 - 12 - 4 - 15
21/04/2010,GRAND PRIX CONSEIL REGIONAL DES PAYS DE LOIRE,Pontchateau,4 - 7 - 9 - 5 - 6
22/04/2010,PRIX DU BEARN,Saint-cloud,3 - 1 - 7 - 13 - 4
23/04/2010,PRIX JACQUES ORLIAGUET,Vincennes,11 - 20 - 17 - 16 - 13
24/04/2010,PRIX DE L'ATLANTIQUE,Enghien,7 - 2 - 5 - 10 - 14
25/04/2010,PRIX DE SATORY,Paris-Longchamp,9 - 10 - 5 - 1 - 11
26/04/2010,PRIX GASTON BRANERE,Auteuil,4 - 12 - 6 - 13 - 9
27/04/2010,PRIX D'ORRY,Chantilly,4 - 3 - 11 - 13 - 2
28/04/2010,GRAND NATIONAL DU TROT,Agen,11 - 3 - 13 - 5 - 10
29/04/2010,PRIX DU PAVILLON ROYAL,Paris-Longchamp,16 - 12 - 15 - 7 - 14
30/04/2010,PRIX HUBERTA,Vincennes,8 - 15 - 4 - 3 - 11
01/05/2010,PRIX DE JARDY,Saint-cloud,1 - 3 - 14 - 4 - 6
02/05/2010,PRIX DU BOIS DE BOULOGNE,Paris-Longchamp,1 - 10 - 3 - 11 - 7
03/05/2010,PRIX DU CHATEAU DE CHANTILLY,Chantilly,2 - 1 - 7 - 3 - 13
04/05/2010,PRIX DES ECURIES DU CHATEAU,Maisons-laffitte,1 - 5 - 7 - 8 - 9
05/05/2010,PRIX DU NICOIS,Lyon,10 - 12 - 14 - 5 - 11
06/05/2010,PRIX DE L'ILE DE LA CITE,Paris-Longchamp,16 - 14 - 13 - 18 - 2
07/05/2010,PRIX BETTINA,Vincennes,10 - 3 - 9 - 7 - 15
08/05/2010,CRITERIUM DES 4 ANS,Vincennes,9 - 10 - 17 - 12 - 2
09/05/2010,GRANDE COURSE DE HAIES DE PRINTEMPS,Auteuil,20 - 13 - 12 - 2 - 9
10/05/2010,PRIX DE LA CAPITAINERIE,Chantilly,9 - 7 - 11 - 2 - 8
11/05/2010,PRIX DE LA VILLE DE TOULOUSE,Toulouse,13 - 8 - 11 - 6 - 10
12/05/2010,GRAND PRIX DU DEPARTEMENT DU RHONE,Lyon,2 - 15 - 12 - 4 - 16
13/05/2010,GRAND PRIX ONET SECURITE,Lyon,2 - 18 - 12 - 16 - 15
14/05/2010,PRIX DE NOGENT SUR MARNE,Vincennes,2 - 14 - 5 - 10 - 1
15/05/2010,PRIX DU GATINAIS,Vincennes,2 - 11 - 10 - 7 - 1
16/05/2010,PRIX ANDRE CARRUS,Paris-Longchamp,8 - 6 - 12 - 16 - 4
17/05/2010,PRIX D'ALSACE,Maisons-laffitte,7 - 10 - 1 - 13 - 3
18/05/2010,PRIX LE GUALES DE MEZAUBRAN,Auteuil,12 - 6 - 13 - 8 - 1
19/05/2010,PRIX DES DUCS DE NORMANDIE,Caen,14 - 12 - 10 - 11 - 3
20/05/2010,PRIX DE CHEVILLY,Paris-Longchamp,9 - 14 - 7 - 2 - 5
21/05/2010,PRIX JACQUES DE SAINT SAUVEUR,Vincennes,5 - 1 - 6 - 12 - 4
22/05/2010,GRAND HANDICAP DE MAISONS-LAFFITTE,Maisons-laffitte,4 - 3 - 6 - 10 - 12
23/05/2010,PRIX DU PARC MONCEAU,Paris-Longchamp,14 - 12 - 16 - 10 - 3
24/05/2010,PRIX DE BOURGOGNE,Saint-cloud,3 - 1 - 14 - 12 - 7
25/05/2010,PRIX DU CHATEAU DE COMPIEGNE,Compiegne,6 - 1 - 5 - 8 - 7
26/05/2010,GRAND NATIONAL DU TROT,La Capelle,12 - 18 - 7 - 4 - 14
27/05/2010,PRIX DU BEL AIR,Paris-Longchamp,8 - 12 - 2 - 3 - 5
28/05/2010,PRIX CONSTELLATION,Vincennes,16 - 12 - 6 - 8 - 7
29/05/2010,PRIX D'ESPELETTE,Enghien,15 - 9 - 12 - 10 - 14
30/05/2010,GRAND STEEPLE-CHASE DE PARIS,Auteuil,4 - 6 - 9 - 7 - 13
31/05/2010,PRIX DES GRAVILLIERS,Paris-Longchamp,10 - 14 - 3 - 4 - 13
01/06/2010,PRIX DU JOURNAL L'ALSACE,Strasbourg,1 - 16 - 6 - 7 - 11
02/06/2010,PRIX LE ROI SOLEIL,Maisons-laffitte,3 - 9 - 7 - 1 - 2
03/06/2010,PRIX DES BOIS NOIRS,Vichy,2 - 16 - 17 - 11 - 10
04/06/2010,PRIX PYTHIA,Vincennes,4 - 3 - 16 - 14 - 2
05/06/2010,PRIX DU MARAIS,Paris-Longchamp,12 - 6 - 8 - 13 - 7
06/06/2010,PRIX DES GRANDES ECURIES,Chantilly,4 - 1 - 7 - 10 - 13
07/06/2010,PRIX JEAN VICTOR,Auteuil,5 - 10 - 4 - 8 - 3
08/06/2010,PRIX DE LA CONCORDE,Paris-Longchamp,17 - 3 - 14 - 15 - 18
09/06/2010,GRAND NATIONAL DU TROT GNT,Laval,15 - 4 - 5 - 1 - 9
10/06/2010,PRIX VICHY CELESTINS,Vichy,10 - 14 - 6 - 13 - 7
11/06/2010,PRIX TITANIA,Vincennes,13 - 6 - 3 - 7 - 8
12/06/2010,PRIX DE VILLENEUVE-SUR-LOT,Vincennes,13 - 10 - 8 - 1 - 17
13/06/2010,PRIX D'ECOUEN,Chantilly,7 - 2 - 10 - 1 - 14
14/06/2010,PRIX DE COMPIEGNE,Paris-Longchamp,10 - 13 - 14 - 6 - 7
15/06/2010,PRIX DANIEL LESCALLE,Auteuil,6 - 3 - 1 - 4 - 9
16/06/2010,PRIX DE ROISSY,Chantilly,10 - 18 - 2 - 12 - 11
17/06/2010,GRAND HANDICAP SYNERGIE,Nantes,3 - 10 - 8 - 7 - 13
18/06/2010,PRIX TOLOSA,Vincennes,9 - 7 - 3 - 5 - 10
19/06/2010,PRIX HARDATIT,Auteuil,6 - 3 - 4 - 16 - 12
20/06/2010,PRIX RENE BALLIERE,Vincennes,11 - 4 - 9 - 1 - 3
21/06/2010,PRIX PIERRE COULON,Vichy,13 - 8 - 2 - 12 - 15
