place,placeoptin,rapport,cr-reunion,cr-num,cr-nb_partants,cr-Hippodrome,cr-Evt,cr-Date,cr-autostart,cr-corde,cr-etat du terrain,cr-distance,Numcheval,CoteProbable,Sexe,NbRencontre,NbBattus,SommeNbRencontre,SommeNbBattus,NumCourseJockey,QteCourseJockeyJour,SumCote5Race,MoyenneCote5Race,qteCoteCheval,ETCote5Race,SumPoids,SumIdJockey,SumidHippodrome,SumIdDeferre,SumDistance,SumAllocation,PositionIdJockey,PositionidHippodrome,PositionIdDeferre,PositionDistance,PositionAllocation,pourcentIdJockey,pourcentidHippodrome,pourcentIdDeferre,pourcentDistance,pourcentAllocation,SommeCourse,nbjourdercourse,numeroagespec,numerodistancespec,numerodeferrespec,numerosexespec,numeroagesexedistancespec,idjockeynumcoursenbrcoursespec,jockeyReussite,jockeyReussitePlusPlace,jockeyReussiteSpecialite,jockeynReussiteDistance,jockeyReussiteIdcheval,jockeyReussiteDeferre,jockeynReussiteSpecialiteDeferre,jockeyReussiteDistanceDeferre,entraineurReussite,entraineurReussitePlusPlace,entraineurReussiteSpecialite,entraineurnReussiteDistance,entraineurReussiteIdcheval,chevalReussite,chevalReussitePlusPlace,chevalReussiteSpecialite,chevalnReussiteDistance,coteprobable,gains
1,1,1.6,2,8,8,Vincennes,0,03-01-2011,0,corde à gauche,terrain bon,2.700 mètres,4,2,M,0,0,0,0,1,1,1,1,0,0.9971,0,0.6667,1,0.6111,1,0.5,0,1,1,0,0,0.24,1,0.1364,0,0,0.9333,0.4545,0.25,0.2727,0.6,0.1818,0.4667,0.8095,0.4176,0.926,0.4193,0.3788,0.2381,0.0187,1,0.2106,1,1,1,1,0,0.2001,0.2001,0.2001,0,1,0.1308
1,1,1.7,4,1,8,Toulouse,0,03-01-2011,1,corde à droite,terrain bon,2.150 mètres,2,7,M,0,0,0,0,0,0.3333,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.8,0.8333,0.7143,0.3636,0.2,0.16,0,0.6687,0,0.8453,1,0,0,0.8116,0,0,0,0,0,1,1,1,0,0.8636,0.8213
1,1,2.3,4,2,18,Toulouse,0,03-01-2011,0,corde à droite,terrain bon,2.950 mètres,12,4,H,0,0,0,0,1,0.3333,0.8889,0.9072,0.5,0.7898,0,0.92,0.6,0.56,1,1,0.8333,0,0,0,0,0.2424,0.25,0.1818,0,0,0.88,0.8571,0.2222,0,0.8571,0.5,0.3333,0.1818,0.0673,0.2629,0.0586,1,0.25,0.1116,1,1,1,1,1,0,0,0.1078,0.1286,0.077,0,0.9375,0.3761
0,8,0,4,3,16,Toulouse,0,03-01-2011,1,corde à droite,terrain bon,2.150 mètres,3,3,F,0,0,0,0,1,0,1,1,1,1,0,0.8571,1,0.8125,0.75,1,0.6667,1,1,1,0,0.67,1,0.67,1,0,0.9286,0,0.625,0.1905,0.6364,0.6667,0.4483,0.24,0,0,0,0,0.6667,0.1749,0.111,0.6667,0.3334,0.3269,0.3334,0,0,0.5045,0.5226,0.5045,1,1,0.7586
1,1,1.3,4,4,16,Toulouse,0,03-01-2011,1,corde à droite,terrain bon,2.750 mètres,13,4,H,0,0,0,0,0.5,0,0.9655,1,0,0.9723,0,0.5128,0.9286,0.9529,1,1,0.5294,1,1,1,1,0.4545,1,0.2247,1,1,1,0,0,0.4167,0,0.4615,0.46,0,0,0,0,0.0277,0.4586,0,0,1,1,1,1,0,0,0.4419,0.5828,0.4162,1,0.9091,0.3158
0,8,0,4,5,14,Toulouse,0,03-01-2011,0,corde à droite,terrain bon,2.950 mètres,9,18,H,0,0,0,0,0.6667,0.6667,0.1752,0.1752,0,0.3531,0,0.5714,0.6,0.5333,0,0.5,0.6,0.5,0.5,0,0,0.67,0.5,0.72,0,0,0.7143,0.9738,0.375,0.2143,0.7692,0.5385,0.6667,0.48,0.3727,0.6536,0.3727,0.3537,0.6667,0.178,1,0.3904,0.5,0.495,0.5,0,0,0.9,0.9035,0.9,0,0.6216,0.4969
1,1,1.3,4,6,16,Toulouse,0,03-01-2011,0,corde à droite,terrain bon,2.950 mètres,8,4,H,0,0,0,0,0.3333,0,1,1,0.3333,1,0,0.94,1,0.9342,1,1,0.8462,1,1,1,1,0.34,1,0,1,1,1,0.5614,0.6429,0.3571,0,0.5,0.1333,0,0,0.083,0,0,0.3333,0,0.0476,0,0.6667,0.6601,0.6667,0,0,0.2938,0.6701,0.3461,1,1,0.4079
1,1,1.4,4,8,18,Toulouse,0,03-01-2011,0,corde à droite,terrain bon,2.950 mètres,3,4,F,0,0,0,0,0,0,0.9079,0.9632,0,0.9235,0,0.8909,1,1,1,1,0.6667,1,1,0,1,0,1,0,0,1,1,0.9895,0.7778,0.9286,0.3333,0.6667,0.7333,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8649
1,1,2.3,2,2,13,Vincennes,0,04-01-2011,0,corde à gauche,terrain bon,2.175 mètres,8,7,M,0,0,0,0,1,0.3333,0.6364,0.7595,0.3333,0.7143,0,0.9375,0.8824,0.7838,1,1,0.8333,1,1,1,1,0,1,0.7931,1,1,0,0.6207,0.125,0.3421,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.9856,0.9609,0.9679,1,0.9063,0.5051
0,8,0,2,4,15,Vincennes,0,04-01-2011,0,corde à gauche,terrain bon,2.700 mètres,5,3,F,0,0,0,0,0,0.3333,1,1,1,1,0,1,0.9375,0.7647,1,1,1,0.6667,0.6667,1,0,1,0.5,0.25,1,0,1,0,0,0.1667,0.5625,0,0.25,0.7632,0.6524,0.8325,0.5654,0.448,1,0.535,0.1428,0.3472,0.5,0.4653,0.5,0.6,0,0,0,0,1,1,0
