odds_id,runner_id,race_id,date,hippodrome,odds_type,decimal_odds,implied_prob,snapshot_time
20250909-R2-C5-12-morning,20250909-R2-C5-12,20250909-R2-C5,20250909,SON PARDO,morning,3.7,0.27027,2026-03-08 16:29:46.534293
20250909-R2-C5-2-final,20250909-R2-C5-2,20250909-R2-C5,20250909,SON PARDO,final,72.0,0.013889,2026-03-08 16:29:46.534293
20250909-R2-C5-3-final,20250909-R2-C5-3,20250909-R2-C5,20250909,SON PARDO,final,34.0,0.029412,2026-03-08 16:29:46.534293
20250909-R2-C5-3-morning,20250909-R2-C5-3,20250909-R2-C5,20250909,SON PARDO,morning,32.0,0.03125,2026-03-08 16:29:46.534293
20250909-R2-C5-4-final,20250909-R2-C5-4,20250909-R2-C5,20250909,SON PARDO,final,13.0,0.076923,2026-03-08 16:29:46.534293
20250909-R2-C5-4-morning,20250909-R2-C5-4,20250909-R2-C5,20250909,SON PARDO,morning,32.0,0.03125,2026-03-08 16:29:46.534293
20250909-R2-C5-5-final,20250909-R2-C5-5,20250909-R2-C5,20250909,SON PARDO,final,7.6,0.131579,2026-03-08 16:29:46.534293
20250909-R2-C5-5-morning,20250909-R2-C5-5,20250909-R2-C5,20250909,SON PARDO,morning,6.1,0.163934,2026-03-08 16:29:46.534293
20250909-R2-C5-6-final,20250909-R2-C5-6,20250909-R2-C5,20250909,SON PARDO,final,32.0,0.03125,2026-03-08 16:29:46.534293
20250909-R2-C5-6-morning,20250909-R2-C5-6,20250909-R2-C5,20250909,SON PARDO,morning,51.0,0.019608,2026-03-08 16:29:46.534293
20250909-R2-C5-7-final,20250909-R2-C5-7,20250909-R2-C5,20250909,SON PARDO,final,2.3,0.434783,2026-03-08 16:29:46.534293
20250909-R2-C5-7-morning,20250909-R2-C5-7,20250909-R2-C5,20250909,SON PARDO,morning,3.0,0.333333,2026-03-08 16:29:46.534293
20250909-R2-C5-8-final,20250909-R2-C5-8,20250909-R2-C5,20250909,SON PARDO,final,30.0,0.033333,2026-03-08 16:29:46.534293
20250909-R2-C5-8-morning,20250909-R2-C5-8,20250909-R2-C5,20250909,SON PARDO,morning,18.0,0.055556,2026-03-08 16:29:46.534293
20250909-R2-C5-9-final,20250909-R2-C5-9,20250909-R2-C5,20250909,SON PARDO,final,69.0,0.014493,2026-03-08 16:29:46.534293
20250909-R2-C5-9-morning,20250909-R2-C5-9,20250909-R2-C5,20250909,SON PARDO,morning,32.0,0.03125,2026-03-08 16:29:46.534293
20250909-R4-C1-1-final,20250909-R4-C1-1,20250909-R4-C1,20250909,VINCENNES,final,60.0,0.016667,2026-03-08 16:29:46.534293
20250909-R4-C1-1-morning,20250909-R4-C1-1,20250909-R4-C1,20250909,VINCENNES,morning,63.0,0.015873,2026-03-08 16:29:46.534293
20250909-R4-C1-10-final,20250909-R4-C1-10,20250909-R4-C1,20250909,VINCENNES,final,17.0,0.058824,2026-03-08 16:29:46.534293
20250909-R4-C1-10-morning,20250909-R4-C1-10,20250909-R4-C1,20250909,VINCENNES,morning,12.0,0.083333,2026-03-08 16:29:46.534293
20250909-R4-C1-11-final,20250909-R4-C1-11,20250909-R4-C1,20250909,VINCENNES,final,27.0,0.037037,2026-03-08 16:29:46.534293
20250909-R4-C1-11-morning,20250909-R4-C1-11,20250909-R4-C1,20250909,VINCENNES,morning,14.0,0.071429,2026-03-08 16:29:46.534293
20250909-R4-C1-12-final,20250909-R4-C1-12,20250909-R4-C1,20250909,VINCENNES,final,8.0,0.125,2026-03-08 16:29:46.534293
20250909-R4-C1-12-morning,20250909-R4-C1-12,20250909-R4-C1,20250909,VINCENNES,morning,6.6,0.151515,2026-03-08 16:29:46.534293
20250909-R4-C1-2-final,20250909-R4-C1-2,20250909-R4-C1,20250909,VINCENNES,final,180.0,0.005556,2026-03-08 16:29:46.534293
20250909-R4-C1-2-morning,20250909-R4-C1-2,20250909-R4-C1,20250909,VINCENNES,morning,66.0,0.015152,2026-03-08 16:29:46.534293
20250909-R4-C1-3-final,20250909-R4-C1-3,20250909-R4-C1,20250909,VINCENNES,final,117.0,0.008547,2026-03-08 16:29:46.534293
20250909-R4-C1-3-morning,20250909-R4-C1-3,20250909-R4-C1,20250909,VINCENNES,morning,105.0,0.009524,2026-03-08 16:29:46.534293
20250909-R4-C1-4-final,20250909-R4-C1-4,20250909-R4-C1,20250909,VINCENNES,final,80.0,0.0125,2026-03-08 16:29:46.534293
20250909-R4-C1-4-morning,20250909-R4-C1-4,20250909-R4-C1,20250909,VINCENNES,morning,34.0,0.029412,2026-03-08 16:29:46.534293
20250909-R4-C1-5-final,20250909-R4-C1-5,20250909-R4-C1,20250909,VINCENNES,final,5.9,0.169492,2026-03-08 16:29:46.534293
20250909-R4-C1-5-morning,20250909-R4-C1-5,20250909-R4-C1,20250909,VINCENNES,morning,7.5,0.133333,2026-03-08 16:29:46.534293
20250909-R4-C1-6-final,20250909-R4-C1-6,20250909-R4-C1,20250909,VINCENNES,final,1.7,0.588235,2026-03-08 16:29:46.534293
